,event type,period,x coor,y coor,owner team id,team,zone code,situation code,net x coor,net y coor,shot_distance,shot_angle,isgoal,is empty net,y_pred
48,shot-on-goal,3,14,23,14,home,N,1551,89,0,78.44743462982075,0.29756172473780584,0,0,0.0203
49,shot-on-goal,3,63,-3,14,home,O,1551,89,0,26.1725046566048,-0.11487660541689913,0,0,0.1043
50,shot-on-goal,3,38,-20,14,home,O,1551,89,0,54.78138369920935,-0.37372681996555346,0,0,0.0433
51,shot-on-goal,3,51,-9,14,home,O,1551,89,0,39.05124837953327,-0.23255694180490905,0,0,0.0708
52,shot-on-goal,3,67,-20,14,home,O,1551,89,0,29.732137494637012,-0.7378150601204648,0,0,0.0938
53,shot-on-goal,3,-39,5,1,away,O,1541,-89,0,50.24937810560445,0.09966865249116202,0,0,0.05
54,goal,3,-70,-1,1,away,O,1541,-89,0,19.026297590440446,-0.05258306161094172,1,0,0.1285
55,shot-on-goal,3,-79,15,1,away,O,1551,-89,0,18.027756377319946,0.9827937232473292,0,0,0.1322
56,goal,3,51,1,14,home,O,1551,89,0,38.01315561749642,0.026309717252922193,1,0,0.073
57,shot-on-goal,3,71,17,14,home,O,1551,89,0,24.758836806279895,0.7568345055586883,0,0,0.1088
58,shot-on-goal,3,40,-16,14,home,O,1551,89,0,51.54609587543949,-0.3156156620387663,0,0,0.048
59,shot-on-goal,3,37,19,14,home,O,1551,89,0,55.362442142665635,0.3503142122354022,0,0,0.0426
60,shot-on-goal,3,-36,-21,1,away,O,0651,-89,0,57.0087712549569,-0.37724905964235905,0,0,0.0404
61,goal,3,53,-4,14,home,O,0651,89,0,36.22154055254967,-0.11065722117389563,1,1,0.0771
62,shot-on-goal,3,-51,-31,1,away,O,1551,-89,0,49.040799340956916,-0.6842947916611498,0,0,0.0519
